Dataset,Distance,Num_Clusters_Mean,Num_Clusters_Std_Error
Sparsity_0.123,euclidean,8.0,0.0
Sparsity_0.123,manhattan,7.0,0.0
Sparsity_0.123,cosine,7.8,0.18637822325921868
Sparsity_0.123,minkowski_p0.5,6.0,0.0
Sparsity_0.123,minkowski_p0.7,7.0,0.0
Sparsity_0.123,minkowski_p4,8.0,0.0
Sparsity_0.497,euclidean,7.5,0.11470786693528086
Sparsity_0.497,manhattan,7.25,0.09933992677987828
Sparsity_0.497,cosine,7.0,0.0
Sparsity_0.497,minkowski_p0.5,7.0,0.0
Sparsity_0.497,minkowski_p0.7,7.0,0.0
Sparsity_0.497,minkowski_p4,7.3,0.10513149660756936
Sparsity_0.523,euclidean,9.9,0.06882472016116853
Sparsity_0.523,manhattan,7.55,0.1352385806055747
Sparsity_0.523,cosine,6.1,0.06882472016116851
Sparsity_0.523,minkowski_p0.5,6.0,0.0
Sparsity_0.523,minkowski_p0.7,6.0,0.0
Sparsity_0.523,minkowski_p4,10.1,0.09999999999999999
Sparsity_0.562,euclidean,7.85,0.1094243309804831
Sparsity_0.562,manhattan,6.45,0.11413288653790232
Sparsity_0.562,cosine,6.0,0.07254762501100116
Sparsity_0.562,minkowski_p0.5,6.0,0.0
Sparsity_0.562,minkowski_p0.7,6.0,0.0
Sparsity_0.562,minkowski_p4,8.0,0.0
Sparsity_0.601,euclidean,7.55,0.1983484440653818
Sparsity_0.601,manhattan,6.3,0.10513149660756936
Sparsity_0.601,cosine,5.5,0.11470786693528086
Sparsity_0.601,minkowski_p0.5,5.95,0.04999999999999999
Sparsity_0.601,minkowski_p0.7,6.1,0.06882472016116853
Sparsity_0.601,minkowski_p4,8.5,0.11470786693528086
Sparsity_0.636,euclidean,7.0,0.0
Sparsity_0.636,manhattan,6.95,0.04999999999999999
Sparsity_0.636,cosine,6.0,0.0
Sparsity_0.636,minkowski_p0.5,6.0,0.0
Sparsity_0.636,minkowski_p0.7,6.35,0.13128915456069917
Sparsity_0.636,minkowski_p4,8.55,0.15346866644024557
Sparsity_0.683,euclidean,7.95,0.049999999999999996
Sparsity_0.683,manhattan,7.3,0.10513149660756936
Sparsity_0.683,cosine,7.7,0.10513149660756936
Sparsity_0.683,minkowski_p0.5,5.75,0.09933992677987828
Sparsity_0.683,minkowski_p0.7,7.0,0.0
Sparsity_0.683,minkowski_p4,8.25,0.09933992677987828
Sparsity_0.718,euclidean,8.3,0.10513149660756935
Sparsity_0.718,manhattan,7.6,0.11239029738980327
Sparsity_0.718,cosine,7.4,0.13377121081198773
Sparsity_0.718,minkowski_p0.5,6.0,0.0
Sparsity_0.718,minkowski_p0.7,6.45,0.11413288653790232
Sparsity_0.718,minkowski_p4,8.0,0.0
Sparsity_0.767,euclidean,8.0,0.0
Sparsity_0.767,manhattan,7.0,0.0
Sparsity_0.767,cosine,7.5,0.13572417850765922
Sparsity_0.767,minkowski_p0.5,5.85,0.08191780219091252
Sparsity_0.767,minkowski_p0.7,6.0,0.0
Sparsity_0.767,minkowski_p4,8.0,0.0
Sparsity_0.837,euclidean,8.0,0.0
Sparsity_0.837,manhattan,7.0,0.0
Sparsity_0.837,cosine,7.65,0.1094243309804831
Sparsity_0.837,minkowski_p0.5,5.95,0.04999999999999999
Sparsity_0.837,minkowski_p0.7,5.95,0.04999999999999999
Sparsity_0.837,minkowski_p4,7.9,0.06882472016116853
Sparsity_0.904,euclidean,7.0,0.0
Sparsity_0.904,manhattan,6.7,0.10513149660756936
Sparsity_0.904,cosine,6.9,0.06882472016116853
Sparsity_0.904,minkowski_p0.5,5.9,0.06882472016116853
Sparsity_0.904,minkowski_p0.7,6.0,0.0
Sparsity_0.904,minkowski_p4,7.6,0.11239029738980327
